index,10-21-2021,10-20-2021,10-19-2021,10-18-2021,10-17-2021,10-16-2021,10-15-2021,10-14-2021,10-13-2021,10-12-2021,10-11-2021,10-10-2021,10-9-2021,10-8-2021,10-7-2021,10-6-2021,10-5-2021,10-4-2021,10-3-2021,10-2-2021,10-1-2021,9-30-2021,9-29-2021,9-28-2021,9-27-2021,9-26-2021,9-25-2021,9-24-2021,9-23-2021,9-21-2021,9-20-2021,9-19-2021,9-18-2021,9-17-2021,9-16-2021,9-15-2021,9-14-2021,9-13-2021,9-12-2021,9-11-2021,9-10-2021,9-9-2021,9-8-2021,9-7-2021,9-6-2021,9-5-2021,9-4-2021,9-3-2021,9-2-2021,9-1-2021,8-31-2021,8-30-2021,8-29-2021,8-28-2021,8-27-2021,8-26-2021,8-25-2021,8-24-2021,8-23-2021,8-22-2021,8-21-2021,8-20-2021,8-19-2021,8-18-2021,8-17-2021,8-16-2021,8-15-2021,8-14-2021,8-13-2021,8-12-2021,8-11-2021,8-10-2021,8-9-2021,8-8-2021,8-7-2021,8-6-2021,8-5-2021,8-4-2021,8-3-2021,8-2-2021,8-1-2021,7-31-2021,7-30-2021,7-29-2021,7-28-2021,7-27-2021,7-26-2021,7-25-2021,7-24-2021,7-23-2021,7-22-2021,7-21-2021,7-20-2021,7-19-2021,7-18-2021,7-17-2021,7-16-2021,7-15-2021,7-14-2021,7-13-2021,7-12-2021,7-11-2021,7-10-2021,7-9-2021,7-8-2021,7-7-2021,7-6-2021,7-5-2021,7-4-2021,7-3-2021,7-2-2021,7-1-2021,6-30-2021,6-29-2021,6-28-2021,6-27-2021,6-26-2021,6-25-2021,6-24-2021,6-23-2021,6-22-2021,6-21-2021,6-20-2021,6-19-2021,6-18-2021,6-17-2021,6-16-2021,6-15-2021,6-14-2021,6-13-2021,6-12-2021,6-11-2021,6-10-2021,6-9-2021,6-8-2021,6-7-2021,6-6-2021,6-5-2021,6-4-2021,6-3-2021,6-2-2021,6-1-2021,5-19-2021,5-18-2021,5-17-2021,5-16-2021,5-15-2021,5-14-2021,5-13-2021,5-12-2021
MD Cases,"553,824.00","552,755.00","552,038.00","551,496.00","550,782.00","549,911.00","548,973.00","547,905.00","546,782.00","545,669.00","545,258.00","544,449.00","543,116.00","541,857.00","540,681.00","539,283.00","538,206.00","537,558.00","536,480.00","535,388.00","534,101.00","532,570.00","531,091.00","529,966.00","528,993.00","528,033.00","526,919.00","525,351.00","523,988.00","521,437.00","520,463.00","519,324.00","518,288.00","517,011.00","515,486.00","514,155.00","512,965.00","511,870.00","510,767.00","509,617.00","508,241.00","506,688.00","505,781.00","505,080.00","504,285.00","503,258.00","502,453.00","501,258.00","499,871.00","498,599.00","497,225.00","496,147.00","495,205.00","494,138.00","492,770.00","491,396.00","490,152.00","488,962.00","488,115.00","487,190.00","486,200.00","485,067.00","483,861.00","482,801.00","481,789.00","480,938.00","480,172.00","479,303.00","478,287.00","477,337.00","476,288.00","475,402.00","474,773.00","474,187.00","473,334.00","472,442.00","471,552.00","470,823.00","470,128.00","469,760.00","469,313.00","468,766.00","468,179.00","467,653.00","467,147.00","466,731.00","466,422.00","466,166.00","465,861.00","465,544.00","465,256.00","464,952.00","464,708.00","464,553.00","464,414.00","464,248.00","464,065.00","463,882.00","463,704.00","463,600.00","463,482.00","463,403.00","463,324.00","463,197.00","463,052.00","462,953.00","462,898.00","462,851.00","462,813.00","462,752.00","462,656.00","462,571.00",462496.0,462434.0,462398.0,462361.0,462295.0,462234.0,462170.0,462104.0,462045.0,461996.0,461956.0,461914.0,461852.0,461766.0,461687.0,461609.0,461543.0,461483.0,461401.0,461314.0,461200.0,461077.0,460951.0,460872.0,460788.0,460684.0,460552.0,460406.0,460272.0,460207.0,456956.0,456619.0,456408.0,456196.0,455827.0,455448.0,454936.0,454462.0
MD NewCases,"1,069.00",717.00,542.00,714.00,871.00,938.00,"1,068.00","1,123.00","1,113.00",411.00,809.00,"1,333.00","1,259.00","1,176.00","1,398.00","1,077.00",648.00,"1,078.00","1,092.00","1,287.00","1,531.00","1,479.00","1,125.00",973.00,960.00,"1,114.00","1,568.00","1,363.00","1,405.00",974.00,"1,139.00","1,036.00","1,277.00","1,525.00","1,331.00","1,190.00","1,095.00","1,103.00","1,150.00","1,376.00","1,553.00",907.00,701.00,795.00,"1,027.00",805.00,"1,195.00","1,387.00","1,272.00","1,374.00","1,078.00",942.00,"1,067.00","1,368.00","1,374.00","1,244.00","1,190.00",847.00,925.00,990.00,"1,133.00","1,206.00","1,060.00","1,012.00",851.00,766.00,869.00,"1,016.00",950.00,"1,049.00",886.00,629.00,586.00,853.00,892.00,890.00,729.00,695.00,368.00,447.00,547.00,587.00,526.00,506.00,416.00,309.00,256.00,305.00,317.00,288.00,304.00,244.00,155.00,139.00,166.00,183.00,183.00,178.00,104.00,118.00,79.00,79.00,127.00,145.00,99.00,55.00,47.00,38.00,61.00,96.00,85.00,75.00,62.0,36.0,37.0,66.0,61.0,64.0,66.0,59.0,49.0,40.0,42.0,62.0,86.0,79.0,78.0,66.0,60.0,82.0,87.0,114.0,123.0,126.0,79.0,84.0,104.0,132.0,146.0,134.0,65.0,101.0,337.0,211.0,212.0,369.0,379.0,512.0,474.0,471.0
VA Cases,"913,100.00","911,321.00","909,499.00","907,882.00","902,938.00","902,938.00","902,938.00","900,581.00","897,978.00","895,619.00","888,159.00","888,159.00","888,159.00","888,159.00","885,323.00","882,437.00","878,518.00","877,090.00","869,328.00","869,328.00","869,328.00","866,776.00","863,644.00","860,493.00","857,852.00","849,865.00","849,865.00","849,865.00","846,979.00","839,475.00","836,140.00","827,197.00","827,197.00","827,197.00","822,985.00","818,804.00","814,738.00","811,079.00","801,827.00","801,827.00","801,827.00","797,348.00","793,396.00","788,917.00","786,910.00","778,167.00","778,167.00","778,167.00","774,097.00","769,842.00","766,435.00","762,948.00","754,652.00","754,652.00","754,652.00","751,132.00","747,641.00","744,187.00","741,160.00","734,079.00","734,079.00","734,079.00","731,287.00","728,523.00","725,971.00","723,727.00","717,826.00","717,826.00","717,826.00","715,556.00","713,195.00","711,078.00","709,319.00","704,664.00","704,664.00","704,664.00","702,819.00","701,059.00","699,342.00","697,939.00","694,384.00","694,384.00","694,384.00","693,206.00","692,105.00","691,018.00","690,183.00","688,300.00","688,300.00","688,300.00","687,550.00","686,884.00","686,206.00","685,485.00","684,499.00","684,499.00","684,499.00","684,054.00","683,614.00","683,202.00","682,856.00","682,673.00","682,433.00","682,147.00","681,890.00","681,599.00","681,326.00","681,194.00","681,072.00","680,904.00","680,744.00","680,564.00",680340.0,680065.0,679917.0,679828.0,679680.0,679472.0,679330.0,679137.0,678909.0,678765.0,678649.0,678595.0,678506.0,678392.0,678226.0,677949.0,677812.0,677744.0,677671.0,677530.0,677425.0,677210.0,677013.0,676831.0,676741.0,676586.0,676300.0,676041.0,675783.0,675597.0,671325.0,670854.0,670465.0,670192.0,669918.0,669219.0,668726.0,668147.0
VA NewCases,"1,779.00","1,822.00","1,617.00","4,944.00",0.00,0.00,"2,357.00","2,603.00","2,359.00","7,460.00",0.00,0.00,0.00,"2,836.00","2,886.00","3,919.00","1,428.00","7,762.00",0.00,0.00,"2,552.00","3,132.00","3,151.00","2,641.00","7,987.00",0.00,0.00,"2,886.00","3,767.00","3,335.00","8,943.00",0.00,0.00,"4,212.00","4,181.00","4,066.00","3,659.00","9,252.00",0.00,0.00,"4,479.00","3,952.00","4,479.00","2,007.00","8,743.00",0.00,0.00,"4,070.00","4,255.00","3,407.00","3,487.00","8,296.00",0.00,0.00,"3,520.00","3,491.00","3,454.00","3,027.00","7,081.00",0.00,0.00,"2,792.00","2,764.00","2,552.00","2,244.00","5,901.00",0.00,0.00,"2,270.00","2,361.00","2,117.00","1,759.00","4,655.00",0.00,0.00,"1,845.00","1,760.00","1,717.00","1,403.00","3,555.00",0.00,0.00,"1,178.00","1,101.00","1,087.00",835.00,"1,883.00",0.00,0.00,750.00,666.00,678.00,721.00,986.00,0.00,0.00,445.00,440.00,412.00,346.00,183.00,240.00,286.00,257.00,291.00,273.00,132.00,122.00,168.00,160.00,180.00,224.00,275.0,148.0,89.0,148.0,208.0,142.0,193.0,228.0,144.0,116.0,54.0,89.0,114.0,166.0,277.0,137.0,68.0,73.0,141.0,105.0,215.0,197.0,182.0,90.0,155.0,286.0,259.0,258.0,186.0,59.0,471.0,389.0,273.0,274.0,699.0,493.0,579.0,561.0
MO Cases,"791,070.00","789,867.00","788,530.00","787,623.00","787,096.00","786,514.00","785,725.00","784,528.00","783,177.00","781,655.00","780,745.00","779,930.00","779,300.00","778,386.00","776,986.00","775,569.00","773,764.00","772,539.00","771,628.00","770,744.00","769,495.00","767,701.00","765,740.00","763,893.00","762,346.00","761,306.00","760,556.00","758,885.00","756,972.00","752,885.00","751,018.00","749,689.00","748,704.00","746,832.00","744,398.00","741,987.00","739,542.00","737,405.00","735,621.00","734,247.00","731,999.00","728,989.00","726,451.00","724,018.00","721,371.00","721,453.00","719,641.00","717,620.00","715,039.00","712,489.00","710,019.00","708,298.00","706,047.00","705,140.00","703,180.00","700,535.00","697,887.00","695,344.00","693,097.00","691,306.00","689,913.00","688,136.00","685,231.00","682,111.00","679,255.00","677,308.00","675,473.00","674,141.00","671,625.00","668,915.00","665,621.00","662,021.00","659,696.00","658,058.00","656,743.00","654,762.00","651,635.00","647,938.00","644,036.00","641,773.00","640,113.00","638,562.00","636,495.00","632,892.00","629,740.00","627,145.00","624,930.00","623,382.00","622,222.00","619,899.00","617,107.00","614,092.00","611,589.00","609,326.00","607,892.00","607,031.00","605,181.00","602,536.00","599,890.00","597,917.00","595,712.00","595,057.00","594,325.00","593,293.00","590,950.00","589,498.00","588,047.00","586,829.00","586,282.00","585,149.00","584,930.00","583,991.00",582708.0,581635.0,580651.0,579889.0,579525.0,579010.0,578002.0,576910.0,576148.0,575373.0,574801.0,574520.0,573908.0,573116.0,572370.0,571546.0,571018.0,570570.0,570311.0,569907.0,569220.0,568604.0,568028.0,567424.0,567000.0,566986.0,566609.0,566055.0,565428.0,564921.0,559913.0,559482.0,559071.0,558763.0,558557.0,558232.0,557781.0,557279.0
MO NewCases,"1,203.00","1,337.00",907.00,527.00,582.00,789.00,"1,339.00","1,500.00","1,522.00",910.00,815.00,630.00,914.00,"1,400.00","1,417.00","1,805.00","1,225.00",911.00,884.00,"1,249.00","1,794.00","1,961.00","1,847.00","1,547.00","1,040.00",750.00,"1,671.00","1,913.00","2,026.00","1,867.00","1,329.00",985.00,"1,872.00","2,434.00","2,411.00","2,445.00","2,137.00","1,784.00","1,374.00","2,248.00","3,010.00","2,538.00","2,433.00","1,731.00",-82.00,"1,086.00","2,021.00","2,581.00","2,550.00","2,470.00","1,721.00","2,251.00",907.00,"1,960.00","2,645.00","2,648.00","2,543.00","2,247.00","1,791.00","1,393.00","1,777.00","2,905.00","3,120.00","2,856.00","1,947.00","1,835.00","1,332.00","2,388.00","2,710.00","3,294.00","3,600.00","2,325.00","1,638.00","1,315.00","1,981.00","3,127.00","3,697.00","3,902.00","2,263.00","1,660.00","1,551.00","2,067.00","3,603.00","2,964.00","2,595.00","2,215.00","1,638.00","1,160.00","2,323.00","2,792.00","3,015.00","2,503.00","2,263.00","1,434.00",861.00,"1,850.00","2,645.00","2,646.00","1,973.00","2,205.00",655.00,732.00,"1,032.00","2,343.00","1,452.00","1,451.00","1,218.00",547.00,879.00,219.00,939.00,"1,283.00",1073.0,984.0,762.0,364.0,515.0,1008.0,1092.0,762.0,775.0,572.0,281.0,612.0,792.0,746.0,733.0,528.0,448.0,259.0,404.0,687.0,616.0,576.0,604.0,424.0,14.0,377.0,554.0,627.0,507.0,257.0,431.0,411.0,308.0,206.0,325.0,451.0,502.0,296.0
KS Cases,"428,023.00","427,863.00","425,861.00","425,600.00","424,108.00","424,108.00","424,086.00","422,308.00","422,261.00","420,301.00","420,286.00","418,664.00","418,664.00","418,664.00","416,545.00","416,428.00","414,129.00","414,127.00","412,332.00","412,332.00","412,319.00","410,041.00","409,937.00","407,540.00","407,436.00","405,513.00","405,513.00","405,495.00","403,026.00","400,540.00","400,445.00","398,054.00","398,054.00","398,054.00","394,848.00","394,776.00","391,113.00","390,982.00","388,198.00","388,198.00","388,198.00","384,034.00","383,933.00","378,482.00","378,244.00","378,244.00","378,244.00","378,244.00","374,426.00","374,314.00","370,128.00","370,060.00","366,926.00","366,848.00","366,848.00","363,685.00","363,530.00","360,088.00","359,987.00","357,266.00","357,214.00","357,195.00","352,103.00","351,833.00","351,554.00","351,444.00","349,073.00","349,073.00","349,070.00","346,220.00","346,181.00","343,491.00","343,462.00","340,741.00","340,741.00","340,741.00","338,666.00","338,568.00","335,924.00","335,840.00","334,159.00","334,159.00","334,119.00","332,294.00","332,261.00","330,018.00","329,941.00","328,603.00","328,603.00","328,593.00","325,958.00","325,732.00","325,592.00","325,544.00","324,738.00","324,738.00","324,738.00","322,773.00","322,725.00","322,505.00","322,458.00","321,812.00","321,812.00","321,812.00","321,011.00","321,000.00","320,070.00","319,991.00","319,991.00","319,991.00","319,991.00","319,626.00",319584.0,319160.0,319151.0,318833.0,318833.0,318833.0,318591.0,318583.0,318264.0,318248.0,318104.0,318104.0,318104.0,317950.0,317938.0,317644.0,317613.0,317387.0,317387.0,317387.0,,,,,,,,,,,,,,,,,,
KS NewCases,160.00,"2,002.00",261.00,"1,492.00",0.00,22.00,"1,778.00",47.00,"1,960.00",15.00,"1,622.00",0.00,0.00,"2,119.00",117.00,"2,299.00",2.00,"1,795.00",0.00,13.00,"2,278.00",104.00,"2,397.00",104.00,"1,923.00",0.00,18.00,"2,469.00",48.00,95.00,"2,391.00",0.00,0.00,"3,206.00",72.00,"3,663.00",131.00,"2,784.00",0.00,0.00,"4,164.00",101.00,"5,451.00",238.00,0.00,0.00,0.00,"3,818.00",112.00,"4,186.00",68.00,"3,134.00",78.00,0.00,"3,163.00",155.00,"3,442.00",101.00,"2,721.00",52.00,19.00,"2,514.00",270.00,279.00,110.00,"2,371.00",0.00,0.00,"2,850.00",39.00,"2,690.00",29.00,"2,721.00",0.00,0.00,"2,075.00",98.00,"2,644.00",84.00,"1,681.00",0.00,40.00,"1,825.00",33.00,"2,243.00",77.00,"1,338.00",0.00,10.00,"1,436.00",226.00,140.00,48.00,806.00,0.00,0.00,"1,965.00",48.00,220.00,47.00,646.00,0.00,0.00,801.00,11.00,930.00,79.00,0.00,0.00,0.00,365.00,42.00,424.0,9.0,318.0,0.0,0.0,242.0,8.0,319.0,16.0,144.0,0.0,0.0,154.0,12.0,294.0,31.0,226.0,0.0,0.0,222.0,,,,,,,,,,,,,,,,,,
IA Cases,"476,673.00","476,673.00","469,859.00","469,859.00","469,859.00","469,859.00","469,859.00","469,859.00","469,859.00","461,712.00","461,712.00","461,712.00","461,712.00","461,712.00","461,712.00","461,712.00","452,042.00","452,042.00","452,042.00","452,042.00","452,042.00","452,042.00","452,042.00","441,156.00","441,156.00","441,156.00","441,156.00","441,156.00","441,156.00","429,056.00","429,056.00","429,056.00","429,056.00","429,056.00","429,056.00","429,056.00","417,129.00","417,129.00","417,129.00","417,129.00","417,129.00","417,129.00","417,129.00","408,382.00","408,382.00","408,382.00","408,382.00","408,382.00","408,382.00","408,382.00","400,075.00","400,075.00","400,075.00","400,075.00","400,075.00","400,075.00","400,075.00","392,962.00","392,962.00","392,962.00","392,962.00","392,962.00","392,962.00","392,962.00","387,258.00","387,258.00","387,258.00","387,258.00","387,258.00","387,258.00","387,258.00","382,393.00","382,393.00","382,393.00","382,393.00","382,393.00","382,393.00","382,393.00","378,823.00","378,823.00","378,823.00","378,823.00","378,823.00","378,823.00","378,823.00","376,664.00","376,664.00","376,664.00","376,664.00","376,664.00","376,664.00","376,664.00","375,271.00","375,271.00","375,271.00","375,271.00","375,271.00","375,271.00","375,271.00","373,406.00","373,406.00","373,406.00","373,406.00","373,406.00","373,406.00","373,406.00","373,337.00","373,257.00","373,230.00","373,172.00","373,107.00","373,004.00",372902.0,372790.0,372704.0,372633.0,372584.0,372514.0,372431.0,372371.0,372286.0,372193.0,372149.0,372106.0,372040.0,371966.0,371893.0,371815.0,371718.0,371631.0,371585.0,371503.0,,,,,,,,,,,,,,,,,,
IA NewCases,0.00,"6,814.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,147.00",0.00,0.00,0.00,0.00,0.00,0.00,"9,670.00",0.00,0.00,0.00,0.00,0.00,0.00,"10,886.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,927.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,747.00",0.00,0.00,0.00,0.00,0.00,0.00,"8,307.00",0.00,0.00,0.00,0.00,0.00,0.00,"7,113.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,704.00",0.00,0.00,0.00,0.00,0.00,0.00,"4,865.00",0.00,0.00,0.00,0.00,0.00,0.00,"3,570.00",0.00,0.00,0.00,0.00,0.00,0.00,"2,159.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,393.00",0.00,0.00,0.00,0.00,0.00,0.00,896.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,80.00,27.00,58.00,65.00,103.00,102.00,112.0,86.0,71.0,49.0,70.0,83.0,60.0,85.0,93.0,44.0,43.0,66.0,74.0,73.0,78.0,97.0,87.0,46.0,82.0,110.0,,,,,,,,,,,,,,,,,,
MN Cases,"767,583.00","765,234.00","763,374.00","757,711.00","754,873.00","754,873.00","754,873.00","751,528.00","748,618.00","746,223.00","738,304.00","735,111.00","735,111.00","735,111.00","731,459.00","728,799.00","724,910.00","717,787.00","714,261.00","714,261.00","714,261.00","710,563.00","707,704.00","705,620.00","699,421.00","696,654.00","696,654.00","696,654.00","693,809.00","689,874.00","683,540.00","681,098.00","681,098.00","681,098.00","678,458.00","675,975.00","673,263.00","668,676.00","665,992.00","665,992.00","665,992.00","663,959.00","662,749.00","656,996.00","654,923.00","654,923.00","654,923.00","654,923.00","652,796.00","650,897.00","649,465.00","645,591.00","643,699.00","643,699.00","643,699.00","641,794.00","639,938.00","638,550.00","634,736.00","633,066.00","633,066.00","633,066.00","631,338.00","630,002.00","628,852.00","625,821.00","624,355.00","624,355.00","624,355.00","623,035.00","621,691.00","620,070.00","618,402.00","617,304.00","617,304.00","617,304.00","616,296.00","615,410.00","614,478.00","612,830.00","612,211.00","612,211.00","612,211.00","611,518.00","610,967.00","610,352.00","609,328.00","608,906.00","608,906.00","608,906.00","608,537.00","608,200.00","607,919.00","607,308.00","607,042.00","607,042.00","607,042.00","606,796.00","606,591.00","606,390.00","606,008.00","605,821.00","605,821.00","605,821.00","605,680.00","605,554.00","605,325.00","605,182.00","605,182.00","605,182.00","605,069.00","604,970.00",604877.0,604810.0,604732.0,604652.0,604558.0,604491.0,604402.0,604281.0,604204.0,604126.0,604028.0,603923.0,603810.0,603702.0,603572.0,603486.0,603396.0,603280.0,603133.0,602985.0,,,,,,,,,,,,,,,,,,
MN NewCases,"2,349.00","1,860.00","5,663.00","2,838.00",0.00,0.00,"3,345.00","2,910.00","2,395.00","7,919.00","3,193.00",0.00,0.00,"3,652.00","2,660.00","3,889.00","7,123.00","3,526.00",0.00,0.00,"3,698.00","2,859.00","2,084.00","6,199.00","2,767.00",0.00,0.00,"2,845.00","2,289.00","6,334.00","2,442.00",0.00,0.00,"2,640.00","2,483.00","2,712.00","4,587.00","2,684.00",0.00,0.00,"2,033.00","1,210.00","5,753.00","2,073.00",0.00,0.00,0.00,"2,127.00","1,899.00","1,432.00","3,874.00","1,892.00",0.00,0.00,"1,905.00","1,856.00","1,388.00","3,814.00","1,670.00",0.00,0.00,"1,728.00","1,336.00","1,150.00","3,031.00","1,466.00",0.00,0.00,"1,320.00","1,344.00","1,621.00","1,668.00","1,098.00",0.00,0.00,"1,008.00",886.00,932.00,"1,648.00",619.00,0.00,0.00,693.00,551.00,615.00,"1,024.00",422.00,0.00,0.00,369.00,337.00,281.00,611.00,266.00,0.00,0.00,246.00,205.00,201.00,382.00,187.00,0.00,0.00,141.00,126.00,229.00,143.00,0.00,0.00,113.00,99.00,93.00,67.0,78.0,80.0,94.0,67.0,89.0,121.0,77.0,78.0,98.0,105.0,113.0,108.0,130.0,86.0,90.0,116.0,147.0,148.0,159.0,,,,,,,,,,,,,,,,,,
ND Cases,"143,521.00","142,985.00","142,407.00","141,683.00","141,484.00","141,268.00","140,746.00","140,186.00","139,563.00","138,902.00","138,181.00","137,951.00","137,678.00","137,126.00","136,433.00","135,728.00","134,922.00","134,063.00","133,785.00","133,519.00","132,808.00","132,158.00","131,399.00","130,574.00","129,690.00","129,472.00","129,189.00","128,552.00","127,912.00","126,642.00","126,018.00","125,797.00","125,598.00","125,110.00","124,620.00","124,047.00","123,104.00","122,736.00","122,559.00","122,351.00","121,849.00","121,217.00","120,602.00","119,963.00","119,692.00","119,556.00","119,383.00","118,931.00","118,491.00","117,955.00","117,497.00","116,977.00","116,838.00","116,666.00","116,305.00","116,022.00","115,668.00","115,312.00","114,915.00","114,806.00","114,690.00","114,481.00","114,179.00","113,925.00","113,673.00","113,404.00","113,330.00","113,225.00","113,063.00","112,894.00","112,744.00","112,560.00","112,336.00","112,336.00","112,285.00","112,169.00","112,050.00","111,933.00","111,837.00","111,699.00","111,674.00","111,644.00","111,570.00","111,486.00","111,411.00","111,331.00","111,265.00","111,227.00","111,215.00","111,170.00","111,127.00","111,093.00","111,067.00","111,019.00","111,008.00","111,000.00","110,975.00","110,958.00","110,926.00","110,899.00","110,858.00","110,857.00","110,848.00","110,821.00","110,808.00","110,779.00","110,751.00","110,745.00","110,736.00","110,734.00","110,729.00","110,718.00",110707.0,110680.0,110666.0,110663.0,110657.0,110644.0,110627.0,110614.0,110598.0,110571.0,110567.0,110559.0,110544.0,110520.0,110492.0,110473.0,110440.0,110432.0,110426.0,110386.0,,,,,,,,,,,,,,,,,,
ND NewCases,536.00,578.00,724.00,199.00,216.00,522.00,560.00,623.00,661.00,721.00,230.00,273.00,552.00,693.00,705.00,806.00,859.00,278.00,266.00,711.00,650.00,759.00,825.00,884.00,218.00,283.00,637.00,640.00,629.00,624.00,221.00,199.00,488.00,490.00,573.00,943.00,368.00,177.00,208.00,502.00,632.00,615.00,639.00,271.00,136.00,173.00,452.00,440.00,536.00,458.00,520.00,139.00,172.00,361.00,283.00,354.00,356.00,397.00,109.00,116.00,209.00,302.00,254.00,252.00,269.00,74.00,105.00,162.00,169.00,150.00,184.00,224.00,0.00,51.00,116.00,119.00,117.00,96.00,138.00,25.00,30.00,74.00,84.00,75.00,80.00,66.00,38.00,12.00,45.00,43.00,34.00,26.00,48.00,11.00,8.00,25.00,17.00,32.00,27.00,41.00,1.00,9.00,27.00,13.00,29.00,28.00,6.00,9.00,2.00,5.00,11.00,11.00,27.0,14.0,3.0,6.0,13.0,17.0,13.0,16.0,27.0,4.0,8.0,15.0,24.0,28.0,19.0,33.0,8.0,6.0,40.0,35.0,,,,,,,,,,,,,,,,,,
NE Cases,"277,196.00","276,434.00","275,752.00","275,102.00","273,993.00","273,993.00","273,993.00","273,280.00","272,515.00","271,750.00","269,935.00","269,853.00","269,853.00","269,853.00","269,006.00","268,258.00","267,490.00","266,747.00","265,446.00","265,446.00","265,446.00","264,819.00","263,894.00","263,247.00","262,184.00","260,875.00","260,875.00","260,875.00","260,195.00","258,486.00","246,331.00","245,645.00","245,512.00","245,512.00","244,757.00","244,431.00","243,886.00","243,540.00","242,608.00","242,608.00","242,608.00","242,141.00","241,621.00","241,154.00","240,219.00","239,973.00","239,973.00","239,973.00","239,426.00","238,618.00","238,384.00","237,642.00","236,869.00","236,670.00","236,670.00","236,064.00","235,662.00","235,123.00","234,569.00","233,799.00","233,728.00","233,728.00","233,263.00","232,850.00","232,542.00","232,143.00","231,449.00","231,376.00","231,376.00","230,897.00","230,492.00","230,127.00","229,866.00","229,409.00","229,345.00","229,345.00","228,984.00","228,666.00","228,489.00","228,207.00","227,803.00","227,803.00","227,803.00","227,486.00","227,281.00","227,026.00","226,816.00","226,497.00","226,492.00","226,492.00","226,314.00","226,201.00","226,149.00","226,065.00","225,795.00","225,792.00","225,773.00","224,898.00","224,795.00","224,019.00","223,844.00","223,686.00","223,677.00","223,667.00","223,594.00","223,529.00","223,468.00","223,358.00","223,358.00","223,352.00","223,352.00","223,306.00",223257.0,223242.0,223167.0,223087.0,223087.0,223069.0,223042.0,223009.0,222963.0,222952.0,222884.0,222884.0,222877.0,222854.0,222808.0,222781.0,222760.0,222688.0,222688.0,222688.0,,,,,,,,,,,,,,,,,,
NE NewCases,762.00,682.00,650.00,"1,109.00",0.00,0.00,713.00,765.00,765.00,"1,815.00",82.00,0.00,0.00,847.00,748.00,768.00,743.00,"1,301.00",0.00,0.00,627.00,925.00,647.00,"1,063.00","1,309.00",0.00,0.00,680.00,721.00,962.00,686.00,133.00,0.00,755.00,326.00,545.00,346.00,932.00,0.00,0.00,467.00,520.00,467.00,935.00,246.00,0.00,0.00,547.00,808.00,234.00,742.00,773.00,199.00,0.00,606.00,402.00,539.00,554.00,770.00,71.00,0.00,465.00,413.00,308.00,399.00,694.00,73.00,0.00,479.00,405.00,365.00,261.00,457.00,64.00,0.00,361.00,318.00,177.00,282.00,404.00,0.00,0.00,317.00,205.00,255.00,210.00,319.00,5.00,0.00,161.00,96.00,52.00,84.00,270.00,3.00,19.00,108.00,103.00,89.00,"-1,352.00",158.00,9.00,10.00,73.00,65.00,61.00,110.00,0.00,6.00,0.00,46.00,49.00,15.0,75.0,80.0,0.0,18.0,27.0,33.0,46.0,11.0,68.0,0.0,7.0,23.0,46.0,27.0,21.0,72.0,0.0,0.0,52.0,,,,,,,,,,,,,,,,,,
SD Cases,"151,971.00","151,554.00","151,088.00","150,350.00","149,996.00","149,996.00","149,996.00","149,678.00","149,337.00","148,249.00","147,820.00","147,820.00","147,820.00","147,820.00","147,469.00","146,995.00","146,594.00","145,839.00","145,474.00","145,474.00","145,474.00","145,018.00","144,546.00","143,995.00","143,183.00","142,800.00","142,800.00","142,800.00","142,330.00","141,141.00","140,402.00","139,956.00","139,956.00","139,956.00","139,412.00","138,860.00","138,292.00","137,300.00","136,772.00","136,772.00","136,772.00","136,157.00","135,538.00","134,308.00","133,855.00","133,855.00","133,855.00","133,855.00","133,372.00","132,837.00","132,259.00","131,239.00","130,776.00","130,776.00","130,776.00","130,337.00","129,866.00","129,411.00","128,626.00","128,295.00","128,295.00","128,295.00","127,991.00","127,696.00","127,320.00","126,925.00","126,746.00","126,746.00","126,746.00","126,607.00","126,454.00","125,592.00","125,592.00","125,592.00","125,592.00","125,592.00","125,592.00","125,592.00","125,216.00","125,216.00","125,216.00","125,216.00","125,216.00","125,216.00","125,216.00","124,948.00","124,948.00","124,948.00","124,948.00","124,948.00","124,948.00","124,948.00","124,750.00","124,750.00","124,750.00","124,750.00","124,750.00","124,750.00","124,750.00","124,641.00","124,641.00","124,641.00","124,641.00","124,641.00","124,641.00","124,641.00","124,582.00","124,582.00","124,582.00","124,582.00","124,582.00","124,561.00",124536.0,124521.0,124512.0,124492.0,124492.0,124492.0,124478.0,124468.0,124446.0,124411.0,124393.0,124393.0,124393.0,124393.0,124382.0,124377.0,124356.0,124356.0,124343.0,124343.0,,,,,,,,,,,,,,,,,,
